Nome da safra,Produtividade estimada,Preço esperado de venda,Custo total de produção por hectare,Precipitação acumulada,Temperatura média,Incidência de pragas e doenças,Custo dos insumos agrícolas,Histórico de produtividade da área,Rentavel
Soja,Alta,Alto,Alto,Adequada,Adequada,Alta,Baixo,Baixo,Sim
Milho,Alta,Baixo,Alto,Adequada,Abaixo da faixa ideal,Alta,Alto,Médio,Nao
Algodão,Baixa,Normal,Médio,Excessiva,Acima da faixa ideal,Baixa,Normal,Baixo,Nao
Arroz,Média,Normal,Baixo,Adequada,Abaixo da faixa ideal,Baixa,Normal,Alto,Sim
Feijão,Alta,Alto,Baixo,Excessiva,Acima da faixa ideal,Baixa,Alto,Médio,Sim
Sorgo,Baixa,Baixo,Alto,Insuficiente,Adequada,Moderada,Baixo,Alto,Nao
Soja,Média,Alto,Médio,Excessiva,Abaixo da faixa ideal,Alta,Alto,Baixo,Nao
Milho,Alta,Normal,Médio,Insuficiente,Adequada,Moderada,Baixo,Alto,Sim
Algodão,Média,Alto,Médio,Adequada,Adequada,Moderada,Normal,Médio,Sim
Arroz,Baixa,Normal,Baixo,Insuficiente,Acima da faixa ideal,Moderada,Alto,Médio,Nao
Feijão,Média,Baixo,Alto,Excessiva,Abaixo da faixa ideal,Baixa,Normal,Alto,Nao
Sorgo,Alta,Baixo,Baixo,Adequada,Abaixo da faixa ideal,Moderada,Baixo,Médio,Sim
Soja,Baixa,Alto,Baixo,Excessiva,Adequada,Baixa,Baixo,Alto,Sim
Milho,Baixa,Baixo,Baixo,Adequada,Acima da faixa ideal,Alta,Baixo,Baixo,Nao
Algodão,Média,Normal,Alto,Insuficiente,Adequada,Alta,Normal,Baixo,Nao
Arroz,Alta,Alto,Médio,Insuficiente,Acima da faixa ideal,Baixa,Normal,Alto,Sim
Feijão,Alta,Normal,Baixo,Adequada,Adequada,Moderada,Alto,Baixo,Sim
Sorgo,Baixa,Alto,Alto,Excessiva,Adequada,Moderada,Alto,Médio,Nao
Soja,Média,Baixo,Médio,Insuficiente,Abaixo da faixa ideal,Alta,Baixo,Alto,Nao
Milho,Média,Alto,Baixo,Adequada,Acima da faixa ideal,Alta,Baixo,Alto,Sim
Algodão,Alta,Alto,Médio,Excessiva,Abaixo da faixa ideal,Baixa,Baixo,Baixo,Sim
Arroz,Alta,Normal,Alto,Excessiva,Acima da faixa ideal,Moderada,Alto,Baixo,Nao
Feijão,Baixa,Baixo,Baixo,Insuficiente,Abaixo da faixa ideal,Baixa,Normal,Médio,Nao
Sorgo,Alta,Normal,Alto,Adequada,Adequada,Baixa,Normal,Médio,Sim
Soja,Alta,Alto,Baixo,Insuficiente,Abaixo da faixa ideal,Moderada,Alto,Alto,Sim
Milho,Baixa,Alto,Médio,Insuficiente,Acima da faixa ideal,Alta,Normal,Alto,Nao
Algodão,Baixa,Baixo,Médio,Adequada,Adequada,Moderada,Alto,Baixo,Nao
Arroz,Média,Baixo,Baixo,Adequada,Adequada,Baixa,Baixo,Baixo,Sim
Feijão,Alta,Alto,Alto,Excessiva,Adequada,Moderada,Normal,Alto,Sim
Sorgo,Média,Normal,Alto,Excessiva,Abaixo da faixa ideal,Alta,Baixo,Médio,Nao
Soja,Média,Alto,Alto,Insuficiente,Acima da faixa ideal,Baixa,Alto,Baixo,Nao
Milho,Alta,Alto,Baixo,Insuficiente,Adequada,Alta,Normal,Médio,Sim
Algodão,Alta,Baixo,Médio,Adequada,Adequada,Baixa,Alto,Alto,Sim
Arroz,Baixa,Normal,Baixo,Excessiva,Abaixo da faixa ideal,Alta,Normal,Alto,Nao
Feijão,Média,Baixo,Alto,Adequada,Acima da faixa ideal,Moderada,Alto,Alto,Nao
Sorgo,Média,Normal,Baixo,Adequada,Acima da faixa ideal,Baixa,Baixo,Médio,Sim
Soja,Média,Alto,Médio,Adequada,Abaixo da faixa ideal,Moderada,Baixo,Alto,Sim
Milho,Baixa,Baixo,Médio,Excessiva,Adequada,Alta,Baixo,Médio,Nao
Algodão,Alta,Baixo,Alto,Insuficiente,Abaixo da faixa ideal,Moderada,Normal,Baixo,Nao
Arroz,Alta,Alto,Baixo,Excessiva,Abaixo da faixa ideal,Alta,Baixo,Médio,Sim
Feijão,Alta,Alto,Alto,Excessiva,Adequada,Alta,Baixo,Médio,Sim
Sorgo,Alta,Baixo,Alto,Adequada,Abaixo da faixa ideal,Alta,Normal,Médio,Nao
