plano_assinatura,frequencia_uso,tempo_desde_ultimo_acesso,uso_beneficios_plano,variacao_preco,percepcao_custo_beneficio,nivel_satisfacao,falhas_pagamento,cancelou_assinatura
Intermediario,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Baixa,Moderado,Medio,Aumentou,Baixa,Medio,Ocasional,Sim
Basico,Media,Moderado,Baixo,Manteve,Media,Alto,Nenhuma,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Baixa,Baixo,Ocasional,Sim
Basico,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Baixa,Baixo,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Baixa,Medio,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Media,Medio,Nenhuma,Nao
Premium,Media,Moderado,Alto,Aumentou,Media,Medio,Nenhuma,Nao
Premium,Alta,Recente,Medio,Aumentou,Baixa,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Baixo,Aumentou,Media,Alto,Ocasional,Nao
Premium,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Sim
Premium,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Nenhuma,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Media,Medio,Recorrente,Sim
Basico,Media,Moderado,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Basico,Alta,Recente,Baixo,Manteve,Media,Medio,Ocasional,Nao
Basico,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Manteve,Media,Baixo,Nenhuma,Nao
Premium,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Baixa,Longo,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Intermediario,Media,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Baixa,Moderado,Medio,Manteve,Media,Medio,Ocasional,Sim
Basico,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Aumentou,Baixa,Medio,Nenhuma,Sim
Basico,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Intermediario,Media,Recente,Alto,Manteve,Media,Baixo,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Media,Longo,Medio,Diminuiu,Baixa,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Alto,Manteve,Media,Baixo,Ocasional,Nao
Intermediario,Media,Moderado,Baixo,Manteve,Alta,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Recente,Baixo,Aumentou,Baixa,Alto,Ocasional,Sim
Basico,Alta,Recente,Medio,Manteve,Alta,Medio,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Media,Medio,Ocasional,Nao
Basico,Baixa,Longo,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Manteve,Baixa,Medio,Nenhuma,Nao
Basico,Alta,Recente,Alto,Aumentou,Baixa,Medio,Ocasional,Sim
Basico,Alta,Longo,Alto,Manteve,Media,Baixo,Recorrente,Sim
Premium,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Premium,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Premium,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Baixo,Manteve,Alta,Medio,Ocasional,Nao
Basico,Media,Recente,Medio,Aumentou,Baixa,Baixo,Ocasional,Sim
Basico,Alta,Moderado,Alto,Manteve,Media,Medio,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Aumentou,Baixa,Alto,Nenhuma,Sim
Intermediario,Media,Recente,Baixo,Aumentou,Baixa,Medio,Nenhuma,Nao
Basico,Media,Longo,Baixo,Aumentou,Baixa,Baixo,Recorrente,Sim
Intermediario,Media,Recente,Baixo,Manteve,Alta,Medio,Nenhuma,Nao
Basico,Baixa,Longo,Medio,Manteve,Alta,Medio,Nenhuma,Sim
Intermediario,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Ocasional,Sim
Basico,Baixa,Longo,Baixo,Manteve,Baixa,Baixo,Nenhuma,Sim
Basico,Media,Moderado,Baixo,Manteve,Media,Medio,Ocasional,Sim
Intermediario,Alta,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Premium,Baixa,Moderado,Medio,Manteve,Baixa,Baixo,Ocasional,Sim
Premium,Alta,Moderado,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Alta,Medio,Ocasional,Nao
Intermediario,Media,Moderado,Medio,Aumentou,Alta,Medio,Nenhuma,Nao
Premium,Media,Moderado,Baixo,Diminuiu,Media,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Manteve,Baixa,Medio,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Aumentou,Baixa,Baixo,Ocasional,Sim
Basico,Baixa,Longo,Baixo,Aumentou,Baixa,Medio,Nenhuma,Sim
Intermediario,Media,Recente,Alto,Manteve,Media,Baixo,Nenhuma,Nao
Basico,Media,Moderado,Medio,Diminuiu,Alta,Alto,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Manteve,Alta,Alto,Nenhuma,Sim
Basico,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Baixa,Longo,Baixo,Aumentou,Media,Medio,Nenhuma,Sim
Premium,Baixa,Moderado,Medio,Aumentou,Baixa,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Alto,Diminuiu,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Alta,Medio,Nenhuma,Nao
Premium,Alta,Moderado,Alto,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Longo,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Basico,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Sim
Intermediario,Alta,Recente,Baixo,Aumentou,Media,Medio,Nenhuma,Nao
